PoissonDataset,Dataset,Area,FeatureMethod,K,Accuracy,StdDev,Status
dataset_rgb_poisson_40,augmented,popolar,wst,5,,,FAILED
dataset_rgb_poisson_40,augmented,popolar,wst,10,,,FAILED
dataset_rgb_poisson_40,augmented,popolar,wst,20,,,FAILED
dataset_rgb_poisson_40,augmented,popolar,advanced_stats,2,,,FAILED
dataset_rgb_poisson_40,augmented,popolar,advanced_stats,5,,,FAILED
dataset_rgb_poisson_40,augmented,popolar,advanced_stats,10,,,FAILED
dataset_rgb_poisson_40,augmented,popolar,advanced_stats,20,,,FAILED
dataset_rgb_poisson_40,augmented,popolar,hybrid,2,,,FAILED
dataset_rgb_poisson_40,augmented,popolar,hybrid,5,,,FAILED
dataset_rgb_poisson_40,augmented,popolar,hybrid,10,,,FAILED
dataset_rgb_poisson_40,augmented,popolar,hybrid,20,,,FAILED
dataset_rgb_poisson_40,augmented,sunset,wst,2,,,FAILED
dataset_rgb_poisson_40,augmented,sunset,wst,5,,,FAILED
dataset_rgb_poisson_40,augmented,sunset,wst,10,,,FAILED
dataset_rgb_poisson_40,augmented,sunset,wst,20,,,FAILED
dataset_rgb_poisson_40,augmented,sunset,advanced_stats,2,,,FAILED
dataset_rgb_poisson_40,augmented,sunset,advanced_stats,5,,,FAILED
dataset_rgb_poisson_40,augmented,sunset,advanced_stats,10,,,FAILED
dataset_rgb_poisson_40,augmented,sunset,advanced_stats,20,,,FAILED
dataset_rgb_poisson_40,augmented,sunset,hybrid,2,,,FAILED
dataset_rgb_poisson_40,augmented,sunset,hybrid,5,,,FAILED
dataset_rgb_poisson_40,augmented,sunset,hybrid,10,,,FAILED
dataset_rgb_poisson_40,augmented,sunset,hybrid,20,,,FAILED
dataset_rgb_poisson_60,mini,assatigue,wst,2,,,FAILED
dataset_rgb_poisson_60,mini,assatigue,wst,5,,,FAILED
dataset_rgb_poisson_60,mini,assatigue,wst,10,,,FAILED
dataset_rgb_poisson_60,mini,assatigue,wst,20,,,FAILED
dataset_rgb_poisson_60,mini,assatigue,advanced_stats,2,,,FAILED
dataset_rgb_poisson_60,mini,assatigue,advanced_stats,5,,,FAILED
dataset_rgb_poisson_60,mini,assatigue,advanced_stats,10,,,FAILED
dataset_rgb_poisson_60,mini,assatigue,advanced_stats,20,,,FAILED
dataset_rgb_poisson_60,mini,assatigue,hybrid,2,,,FAILED
dataset_rgb_poisson_60,mini,assatigue,hybrid,5,,,FAILED
