noise_condition,dataset_type,k_features,feature_method,mean_accuracy,std_accuracy,selected_features_str
clean,small,10,hybrid,0.940741,0.066086,"R_std, R_min, R_iqr, R_mad, G_min, G_p10, G_iqr, G_mad, B_min, R_wst_mean_15;R_min, R_iqr, R_mad, G_min, G_range, G_iqr, G_mad, B_min, B_cv, B_p10;R_wst_mean_20, G_wst_mean_5, G_wst_mean_11, G_wst_mean_60, G_wst_std_60, B_wst_mean_5, B_wst_mean_13, B_wst_mean_37, B_wst_mean_47, B_wst_mean_56"
clean,small,10,wst,0.896296,0.084267,"R_wst_mean_6, R_wst_mean_7, R_wst_mean_15, R_wst_mean_60, R_wst_mean_61, R_wst_mean_70, R_wst_mean_72, R_wst_std_0, G_wst_mean_15, B_wst_mean_15;R_wst_mean_1, R_wst_mean_8, R_wst_mean_9, R_wst_mean_10, R_wst_mean_15, R_wst_mean_16, R_wst_std_0, G_wst_mean_9, G_wst_mean_16, G_wst_std_0;R_wst_mean_20, G_wst_mean_5, G_wst_mean_11, G_wst_mean_60, G_wst_std_60, B_wst_mean_5, B_wst_mean_13, B_wst_mean_37, B_wst_mean_47, B_wst_mean_56"
clean,small,20,advanced_stats,0.948148,0.065918,"R_std, R_var, R_min, R_range, R_cv, R_iqr, R_mad, R_grad_mean, G_std, G_var, G_min, G_range, G_cv, G_p10, G_p25, G_iqr, G_mad, B_min, B_p10, B_p25;R_std, R_var, R_min, R_cv, R_p10, R_iqr, R_mad, G_std, G_var, G_min, G_range, G_cv, G_iqr, G_mad, B_min, B_cv, B_p10, B_p25, B_iqr, B_mad;R_std, R_var, R_range, R_iqr, R_mad, R_grad_mean, G_std, G_var, G_range, G_cv, G_iqr, G_mad, G_grad_mean, B_std, B_var, B_max, B_range, B_cv, B_mad, B_grad_mean"
clean,small,20,hybrid,0.948148,0.087011,"R_std, R_var, R_min, R_cv, R_iqr, R_mad, G_min, G_range, G_p10, G_iqr, G_mad, B_min, B_p10, B_p25, R_wst_mean_6, R_wst_mean_7, R_wst_mean_15, R_wst_mean_60, R_wst_mean_61, B_wst_mean_15;R_min, R_cv, R_p10, R_iqr, R_mad, G_std, G_var, G_min, G_range, G_iqr, G_mad, B_min, B_cv, B_p10, B_iqr, R_wst_mean_8, R_wst_mean_16, R_wst_std_0, G_wst_mean_16, G_wst_std_0;R_wst_mean_11, R_wst_mean_20, G_wst_mean_3, G_wst_mean_4, G_wst_mean_5, G_wst_mean_11, G_wst_mean_46, G_wst_mean_53, G_wst_mean_60, G_wst_std_5, G_wst_std_38, G_wst_std_60, B_wst_mean_5, B_wst_mean_13, B_wst_mean_17, B_wst_mean_37, B_wst_mean_47, B_wst_mean_48, B_wst_mean_49, B_wst_mean_56"
clean,small,20,wst,0.911111,0.089053,"R_wst_mean_1, R_wst_mean_6, R_wst_mean_7, R_wst_mean_8, R_wst_mean_14, R_wst_mean_15, R_wst_mean_16, R_wst_mean_37, R_wst_mean_60, R_wst_mean_61, R_wst_mean_65, R_wst_mean_69, R_wst_mean_70, R_wst_mean_71, R_wst_mean_72, R_wst_std_0, G_wst_mean_7, G_wst_mean_15, G_wst_mean_52, B_wst_mean_15;R_wst_mean_1, R_wst_mean_7, R_wst_mean_8, R_wst_mean_9, R_wst_mean_10, R_wst_mean_15, R_wst_mean_16, R_wst_mean_24, R_wst_mean_65, R_wst_mean_71, R_wst_mean_72, R_wst_mean_78, R_wst_std_0, G_wst_mean_1, G_wst_mean_8, G_wst_mean_9, G_wst_mean_12, G_wst_mean_16, G_wst_std_0, B_wst_std_0;R_wst_mean_11, R_wst_mean_20, G_wst_mean_3, G_wst_mean_4, G_wst_mean_5, G_wst_mean_11, G_wst_mean_46, G_wst_mean_53, G_wst_mean_60, G_wst_std_5, G_wst_std_38, G_wst_std_60, B_wst_mean_5, B_wst_mean_13, B_wst_mean_17, B_wst_mean_37, B_wst_mean_47, B_wst_mean_48, B_wst_mean_49, B_wst_mean_56"
saltpepper15,mini,2,advanced_stats,0.933333,0.133333,"R_iqr, G_iqr;R_iqr, B_p25;R_mad, B_iqr"
saltpepper15,mini,2,hybrid,0.933333,0.098878,"R_iqr, G_iqr;G_iqr, B_p25;R_wst_std_0, B_wst_mean_73"
saltpepper15,mini,2,wst,0.888889,0.153311,"B_wst_mean_0, B_wst_mean_54;R_wst_std_0, G_wst_std_0;R_wst_std_0, B_wst_mean_73"
saltpepper15,mini,5,advanced_stats,0.888889,0.143322,"R_iqr, G_kurt, G_iqr, B_cv, B_p25;R_p25, R_iqr, G_iqr, B_skew, B_p25;R_std, R_var, R_mad, R_grad_mean, B_iqr"
saltpepper15,mini,5,hybrid,0.933333,0.133333,"R_iqr, G_iqr, B_skew, B_cv, B_p25;R_iqr, G_iqr, B_mean, B_skew, B_p25;R_mad, B_iqr, R_wst_std_0, B_wst_mean_73, B_wst_mean_80"
