noise_condition,area,dataset_type,k_features,feature_method,experiment_name,mean_accuracy,std_accuracy,n_estimators,total_images,total_features_available,file_path,selected_features_str,feature_scores_str,cv_scores_str
gaussian50,popolar,small,5,advanced_stats,KBest_Advanced_Stats_RGB_Small_Popolar_k5,0.888888888888889,0.09938079899999065,10,45,54,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/small/k5/advanced_stats/advanced_stats_k5_small_report.json,"B_mean, B_skew, B_cv, B_p25, B_p75","0.8398017006009857, 0.8499051864397658, 0.8500037208030058, 0.8496274086619879, 0.8098017006009857","0.7777777777777778, 1.0, 0.7777777777777778, 0.8888888888888888, 1.0"
gaussian50,popolar,small,5,wst,KBest_Wst_RGB_Small_Popolar_k5,0.9555555555555555,0.054433105395181765,10,45,156,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/small/k5/wst/wst_k5_small_report.json,"B_mean, R_WST0_std, G_WST0_std, B_WST0_mean, B_WST0_std","0.8398017006009857, 1.0577588850287578, 0.8860850650216043, 0.837209108008393, 0.8141245977957747","0.8888888888888888, 1.0, 1.0, 1.0, 0.8888888888888888"
gaussian50,popolar,small,5,hybrid,KBest_Hybrid_RGB_Small_Popolar_k5,0.888888888888889,0.09938079899999065,10,45,204,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/small/k5/hybrid/hybrid_k5_small_report.json,"B_skew, B_cv, B_p25, R_WST0_std, G_WST0_std","0.8499051864397658, 0.8500037208030058, 0.8592570382916176, 1.0577588850287578, 0.8860850650216043","0.7777777777777778, 1.0, 0.7777777777777778, 1.0, 0.8888888888888888"
gaussian50,popolar,small,10,advanced_stats,KBest_Advanced_Stats_RGB_Small_Popolar_k10,0.8444444444444443,0.05443310539518171,10,45,54,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/small/k10/advanced_stats/advanced_stats_k10_small_report.json,"R_mean, R_skew, R_p25, R_p75, B_mean, B_skew, B_cv, B_p25, B_p50, B_p75","0.762831898435105, 0.7517207873239939, 0.7762616785315519, 0.8431355762387829, 0.8398017006009857, 0.8499051864397658, 0.8500037208030058, 0.8476072066417859, 0.8137074245067095, 0.794986885786171","0.7777777777777778, 0.8888888888888888, 0.7777777777777778, 0.8888888888888888, 0.8888888888888888"
gaussian50,popolar,small,10,wst,KBest_Wst_RGB_Small_Popolar_k10,0.9333333333333332,0.08888888888888889,10,45,156,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/small/k10/wst/wst_k10_small_report.json,"R_mean, G_mean, G_std, B_mean, R_WST0_mean, R_WST0_std, G_WST0_mean, G_WST0_std, B_WST0_mean, B_WST0_std","0.762831898435105, 0.5351526294017634, 0.6834536493694501, 0.8398017006009857, 0.761641422244629, 1.0577588850287578, 0.5386543129034469, 0.8860850650216043, 0.837209108008393, 0.8141245977957747","0.7777777777777778, 1.0, 1.0, 1.0, 0.8888888888888888"
gaussian50,popolar,small,10,hybrid,KBest_Hybrid_RGB_Small_Popolar_k10,0.8666666666666666,0.0831479419283098,10,45,204,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/small/k10/hybrid/hybrid_k10_small_report.json,"B_mean, B_skew, B_cv, B_p25, B_p50, B_p75, R_WST0_std, G_WST0_std, B_WST0_mean, B_WST0_std","0.8398017006009857, 0.8499051864397658, 0.8500037208030058, 0.8550146140491934, 0.8322259430252279, 0.8136478544471393, 1.0577588850287578, 0.8860850650216043, 0.837209108008393, 0.8141245977957747","0.7777777777777778, 1.0, 0.7777777777777778, 0.8888888888888888, 0.8888888888888888"
gaussian50,popolar,small,20,advanced_stats,KBest_Advanced_Stats_RGB_Small_Popolar_k20,0.8444444444444443,0.08888888888888888,10,45,54,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/small/k20/advanced_stats/advanced_stats_k20_small_report.json,"R_mean, R_skew, R_cv, R_p25, R_p50, R_p75, G_std, G_var, G_kurt, G_cv, G_p25, G_iqr, G_mad, B_mean, B_skew, B_cv, B_p25, B_p50, B_p75, B_grad_mean","0.762831898435105, 0.7517207873239939, 0.7427701700400435, 0.7868076140774876, 0.7659491823857223, 0.7681775223101408, 0.6834536493694501, 0.6834536493694501, 0.7085497388908268, 0.6017218924764032, 0.608204730625908, 0.6281880569156186, 0.6986901412726088, 0.8398017006009857, 0.8499051864397658, 0.8500037208030058, 0.8607385197730992, 0.8244847952840804, 0.8210552618545468, 0.5861713715549435","0.7777777777777778, 0.8888888888888888, 0.7777777777777778, 0.7777777777777778, 1.0"
gaussian50,popolar,small,20,wst,KBest_Wst_RGB_Small_Popolar_k20,0.9111111111111111,0.08314794192830981,10,45,156,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/small/k20/wst/wst_k20_small_report.json,"R_mean, R_std, G_mean, G_std, B_mean, B_std, R_WST0_mean, R_WST0_std, R_WST1_std, G_WST0_mean, G_WST0_std, B_WST0_mean, B_WST0_std, B_WST1_mean, B_WST2_mean, B_WST3_mean, B_WST3_std, B_WST4_mean, B_WST5_mean, B_WST8_mean","0.762831898435105, 0.4757785454268235, 0.5351526294017634, 0.6834536493694501, 0.8398017006009857, 0.5217175806541205, 0.761641422244629, 1.0577588850287578, 0.3924889631367321, 0.5386543129034469, 0.8860850650216043, 0.837209108008393, 0.8141245977957747, 0.45417960601679286, 0.36431273214928583, 0.389363406775882, 0.36855525806301226, 0.44433046160033496, 0.4050489225148739, 0.34997785555750616","0.7777777777777778, 1.0, 0.8888888888888888, 1.0, 0.8888888888888888"
gaussian50,popolar,small,20,hybrid,KBest_Hybrid_RGB_Small_Popolar_k20,0.9333333333333332,0.08888888888888889,10,45,204,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/small/k20/hybrid/hybrid_k20_small_report.json,"R_mean, R_skew, R_cv, R_p25, R_p50, R_p75, G_var, G_kurt, G_mad, B_mean, B_skew, B_cv, B_p25, B_p50, B_p75, R_WST0_mean, R_WST0_std, G_WST0_std, B_WST0_mean, B_WST0_std","0.762831898435105, 0.7517207873239939, 0.7427701700400435, 0.7536167308866042, 0.7537269601635004, 0.7478470684502752, 0.6834536493694501, 0.7085497388908268, 0.6986901412726088, 0.8398017006009857, 0.8499051864397658, 0.8500037208030058, 0.8277755568101364, 0.8322259430252279, 0.7988330396323247, 0.761641422244629, 1.0577588850287578, 0.8860850650216043, 0.837209108008393, 0.8141245977957747","0.7777777777777778, 1.0, 1.0, 1.0, 0.8888888888888888"
gaussian50,popolar,original,2,advanced_stats,KBest_Advanced_Stats_RGB_Original_Popolar_k2,0.885,0.05254627590144814,50,121,54,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/original/k2/advanced_stats/advanced_stats_k2_original_report.json,"B_p25, B_p50","0.8981706683393698, 0.8851552844142323","0.8, 0.9583333333333334, 0.875, 0.9166666666666666, 0.875"
gaussian50,popolar,original,2,wst,KBest_Wst_RGB_Original_Popolar_k2,0.9253333333333333,0.041101500378128944,50,121,156,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/original/k2/wst/wst_k2_original_report.json,"R_WST0_std, G_WST0_std","0.9273119698642638, 0.9390833754962995","0.96, 0.9583333333333334, 0.9583333333333334, 0.875, 0.875"
gaussian50,popolar,original,2,hybrid,KBest_Hybrid_RGB_Original_Popolar_k2,0.9253333333333333,0.041101500378128944,50,121,204,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/original/k2/hybrid/hybrid_k2_original_report.json,"R_WST0_std, G_WST0_std","0.9273119698642638, 0.9390833754962995","0.96, 0.9583333333333334, 0.9583333333333334, 0.875, 0.875"
gaussian50,popolar,original,5,advanced_stats,KBest_Advanced_Stats_RGB_Original_Popolar_k5,0.9016666666666666,0.05948856099191582,50,121,54,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/original/k5/advanced_stats/advanced_stats_k5_original_report.json,"R_p25, B_skew, B_cv, B_p25, B_p50","0.8922447266447115, 0.8848290372648777, 0.883831944990618, 0.8879880330898895, 0.8882532497131546","0.8, 0.9583333333333334, 0.875, 0.9166666666666666, 0.9583333333333334"
gaussian50,popolar,original,5,wst,KBest_Wst_RGB_Original_Popolar_k5,0.9423333333333334,0.04211887937730537,50,121,156,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/original/k5/wst/wst_k5_original_report.json,"B_mean, R_WST0_mean, R_WST0_std, G_WST0_std, B_WST0_mean","0.87401089657363, 0.85776062625152, 0.9273119698642638, 0.9390833754962995, 0.8855542732337851","0.92, 1.0, 0.9583333333333334, 0.9583333333333334, 0.875"
gaussian50,popolar,original,5,hybrid,KBest_Hybrid_RGB_Original_Popolar_k5,0.9506666666666668,0.030488613539411003,50,121,204,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/original/k5/hybrid/hybrid_k5_original_report.json,"R_p25, B_p25, R_WST0_std, G_WST0_std, B_WST0_mean","0.8865916965229226, 0.8946802429441547, 0.9273119698642638, 0.9390833754962995, 0.8855542732337851","0.92, 1.0, 0.9583333333333334, 0.9583333333333334, 0.9166666666666666"
gaussian50,popolar,original,10,advanced_stats,KBest_Advanced_Stats_RGB_Original_Popolar_k10,0.9099999999999999,0.06377042156569662,50,121,54,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/original/k10/advanced_stats/advanced_stats_k10_original_report.json,"R_mean, R_skew, R_cv, R_p25, B_mean, B_skew, B_cv, B_p25, B_p50, B_p75","0.8471135712862834, 0.8421605328986315, 0.8792585817735399, 0.8806766555926577, 0.87401089657363, 0.8848290372648777, 0.883831944990618, 0.8981570455984744, 0.8880459160798426, 0.8237106383844166","0.8, 1.0, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666"
gaussian50,popolar,original,10,wst,KBest_Wst_RGB_Original_Popolar_k10,0.9503333333333334,0.016845705024657723,50,121,156,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/original/k10/wst/wst_k10_original_report.json,"R_mean, R_std, G_std, B_mean, R_WST0_mean, R_WST0_std, G_WST0_std, B_WST0_mean, B_WST0_std, B_WST3_mean","0.8471135712862834, 0.5897574890119544, 0.6105933708685638, 0.87401089657363, 0.85776062625152, 0.9273119698642638, 0.9390833754962995, 0.8855542732337851, 0.793918064309505, 0.5551320262142554","0.96, 0.9583333333333334, 0.9583333333333334, 0.9583333333333334, 0.9166666666666666"
gaussian50,popolar,original,10,hybrid,KBest_Hybrid_RGB_Original_Popolar_k10,0.9339999999999999,0.042250575275504965,50,121,204,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/original/k10/hybrid/hybrid_k10_original_report.json,"R_cv, R_p25, B_mean, B_skew, B_cv, B_p25, B_p50, R_WST0_std, G_WST0_std, B_WST0_mean","0.8792585817735399, 0.8871329508919283, 0.87401089657363, 0.8848290372648777, 0.883831944990618, 0.8967399404063903, 0.902107412796842, 0.9273119698642638, 0.9390833754962995, 0.8855542732337851","0.92, 1.0, 0.9583333333333334, 0.9166666666666666, 0.875"
