noise_condition,area,dataset_type,k_features,feature_method,experiment_name,mean_accuracy,std_accuracy,n_estimators,total_images,total_features_available,file_path,selected_features_str,feature_scores_str,cv_scores_str
clean,popolar,original,5,wst,KBest_Wst_RGB_Original_Popolar_k5,0.9836666666666666,0.020011108026404847,100,121,156,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/popolar/original/k5/wst/wst_k5_original_report.json,"R_std, G_std, R_WST0_std, R_WST8_mean, G_WST0_std","0.9373312268279583, 0.9398695975481468, 0.9254254681502654, 0.9067527144312639, 0.903572083802705","0.96, 1.0, 1.0, 0.9583333333333334, 1.0"
clean,popolar,original,5,hybrid,KBest_Hybrid_RGB_Original_Popolar_k5,1.0,0.0,100,121,204,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/popolar/original/k5/hybrid/hybrid_k5_original_report.json,"R_iqr, G_iqr, G_mad, B_min, B_p10","1.0918274881424015, 1.0950445190453826, 1.0940344180352817, 1.1040993531002166, 1.0891239368074117","1.0, 1.0, 1.0, 1.0, 1.0"
clean,popolar,original,10,advanced_stats,KBest_Advanced_Stats_RGB_Original_Popolar_k10,0.9916666666666668,0.016666666666666653,100,121,54,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/popolar/original/k10/advanced_stats/advanced_stats_k10_original_report.json,"R_min, R_p10, R_iqr, R_mad, G_min, G_iqr, G_mad, B_min, B_cv, B_p10","1.0381646824808612, 1.0396254193708652, 1.0918274881424015, 1.0875605888341797, 1.0106109017165283, 1.0950445190453826, 1.0940344180352817, 1.1040993531002166, 1.0622870265623088, 1.0923784523297293","1.0, 1.0, 1.0, 0.9583333333333334, 1.0"
clean,popolar,original,10,wst,KBest_Wst_RGB_Original_Popolar_k10,0.9836666666666666,0.020011108026404847,100,121,156,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/popolar/original/k10/wst/wst_k10_original_report.json,"R_std, G_std, B_mean, R_WST0_std, R_WST4_mean, R_WST5_mean, R_WST8_mean, G_WST0_std, B_WST0_mean, B_WST0_std","0.9373312268279583, 0.9398695975481468, 0.8949818562842593, 0.9254254681502654, 0.8597269669922933, 0.8699654199993414, 0.9067527144312639, 0.903572083802705, 0.8989930425268502, 0.8671291116822404","0.96, 1.0, 1.0, 0.9583333333333334, 1.0"
clean,popolar,original,10,hybrid,KBest_Hybrid_RGB_Original_Popolar_k10,0.9916666666666668,0.016666666666666653,100,121,204,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/popolar/original/k10/hybrid/hybrid_k10_original_report.json,"R_min, R_p10, R_iqr, R_mad, G_min, G_iqr, G_mad, B_min, B_cv, B_p10","1.0381646824808612, 1.0321874028419395, 1.0918274881424015, 1.0875605888341797, 1.0106109017165283, 1.0950445190453826, 1.0940344180352817, 1.1040993531002166, 1.0622870265623088, 1.0923784523297293","1.0, 1.0, 1.0, 0.9583333333333334, 1.0"
clean,popolar,original,20,advanced_stats,KBest_Advanced_Stats_RGB_Original_Popolar_k20,1.0,0.0,100,121,54,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/popolar/original/k20/advanced_stats/advanced_stats_k20_original_report.json,"R_std, R_var, R_min, R_cv, R_p10, R_p25, R_iqr, R_mad, G_std, G_var, G_min, G_range, G_cv, G_iqr, G_mad, B_min, B_cv, B_p10, B_p25, B_iqr","0.9373312268279583, 0.9351568860172539, 1.0381646824808612, 0.940895577768406, 1.039271228107583, 0.9787786784019497, 1.0918274881424015, 1.0875605888341797, 0.9398695975481468, 0.9373107468488004, 1.0106109017165283, 0.9675000179928577, 0.9179408949376262, 1.0950445190453826, 1.0940344180352817, 1.1040993531002166, 1.0622870265623088, 1.0908248143456099, 1.0017580040960632, 0.9355575485408756","1.0, 1.0, 1.0, 1.0, 1.0"
clean,popolar,original,20,wst,KBest_Wst_RGB_Original_Popolar_k20,0.9916666666666668,0.016666666666666653,100,121,156,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/popolar/original/k20/wst/wst_k20_original_report.json,"R_mean, R_std, G_std, B_mean, B_std, R_WST0_mean, R_WST0_std, R_WST3_mean, R_WST4_mean, R_WST5_mean, R_WST8_mean, R_WST19_mean, R_WST20_mean, R_WST24_mean, G_WST0_std, G_WST4_mean, G_WST5_mean, G_WST8_mean, B_WST0_mean, B_WST0_std","0.8255268624730312, 0.9373312268279583, 0.9398695975481468, 0.8949818562842593, 0.7925049230965937, 0.842254621695929, 0.9254254681502654, 0.7987556732986525, 0.8597269669922933, 0.8699654199993414, 0.9067527144312639, 0.7846427112243302, 0.7681868160769025, 0.8350798976816902, 0.903572083802705, 0.7993176793102785, 0.8179026755812251, 0.8513086635326677, 0.8989930425268502, 0.8671291116822404","1.0, 1.0, 1.0, 0.9583333333333334, 1.0"
clean,popolar,original,20,hybrid,KBest_Hybrid_RGB_Original_Popolar_k20,1.0,0.0,100,121,204,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/popolar/original/k20/hybrid/hybrid_k20_original_report.json,"R_std, R_var, R_min, R_cv, R_p10, R_p25, R_iqr, R_mad, G_std, G_var, G_min, G_range, G_iqr, G_mad, B_min, B_cv, B_p10, B_p25, B_iqr, R_WST0_std","0.9373312268279583, 0.9351568860172539, 1.0381646824808612, 0.940895577768406, 1.0396254193708652, 0.9769032457608477, 1.0918274881424015, 1.0875605888341797, 0.9398695975481468, 0.9373107468488004, 1.0106109017165283, 0.9714884537994755, 1.0950445190453826, 1.0940344180352817, 1.1040993531002166, 1.0622870265623088, 1.0918274881424015, 1.0038241197985425, 0.9355575485408756, 0.9254254681502654","1.0, 1.0, 1.0, 1.0, 1.0"
clean,sunset,mini,2,advanced_stats,KBest_Advanced_Stats_RGB_Mini_Sunset_k2,1.0,0.0,100,15,54,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/sunset/mini/k2/advanced_stats/advanced_stats_k2_mini_report.json,"R_grad_mean, G_grad_mean","1.0571178821178826, 1.0793401043401047","1.0, 1.0, 1.0, 1.0, 1.0"
clean,sunset,mini,2,wst,KBest_Wst_RGB_Mini_Sunset_k2,1.0,0.0,100,15,156,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/sunset/mini/k2/wst/wst_k2_mini_report.json,"G_WST14_mean, G_WST14_std","1.0793401043401047, 1.101562326562327","1.0, 1.0, 1.0, 1.0, 1.0"
